module,bugtitle,slevel,priority,bugstatus,activatecount,creator,creatortime,designate,designatetime,solver,solution,solvertime,closetime
0,【重庆政企二期】修改文章-添加文章时对标题和封面做了为空校验，但是修改没有做校验,3,3,已关闭,0,黎兴,2018/6/28,Closed,2018/7/11,康忠飞,已解决,2018/7/11,2018/7/11
0,【重庆政企二期】教程添加-教程添加成功后，没有跳转到教程列表页面,3,3,已关闭,1,黎兴,2018/7/2,Closed,2018/7/13,康忠飞,已解决,2018/7/12,2018/7/13
0,【重庆政二期】推送文章新增-新增页面缺少“预览”、“保存并发送”按钮（需求原型有）,3,3,已关闭,1,黎兴,2018/7/2,Closed,2018/7/17,康忠飞,已解决,2018/7/13,2018/7/17
0,【重庆政企二期】推送文章编辑-编辑文章后数据库字段IMG_SRC、CREATE_TIME、UPDATE_TIME为空,3,3,已关闭,0,黎兴,2018/7/2,Closed,2018/7/11,杨滨舟,已解决,2018/7/4,2018/7/11
app端(#42),【重庆】页面进行解码、换码、绑码切换操作时，console打印出出相关的报错信息,3,2,已关闭,0,黎兴,2018/5/28,Closed,2018/6/4,王琪,外部原因,2018/6/4,2018/6/4
app端(#42),【重庆】装维模块-不符合用户需求文档制定的功能，缺少查询功能模块,3,,已关闭,0,黎兴,2018/5/28,Closed,2018/6/7,黎兴,已解决,2018/6/7,2018/6/7
app端(#42),【重庆】企业信息-客户经理和装修负责人电话号码字段未做电话格式限制,4,2,已关闭,0,黎兴,2018/6/1,Closed,2018/6/4,王琪,已解决,2018/6/4,2018/6/4
app端(#42),【重庆】添加设备-未选择关联的业务号码，点击下一步按钮无任何响应,3,3,已关闭,0,黎兴,2018/6/1,Closed,2018/6/4,王琪,已解决,2018/6/4,2018/6/4
app端(#42),【重庆】设备添加-进入扫二维码页面的搜索框无任何意义,3,,已关闭,0,黎兴,2018/6/1,Closed,2018/6/7,黎兴,已解决,2018/6/7,2018/6/7
app端(#42),【重庆】企业信息-已经作废的设备还会显示在设备列表里面,3,3,已关闭,1,黎兴,2018/6/1,Closed,2018/6/5,杨滨舟,已解决,2018/6/5,2018/6/5
app端(#42),【重庆】解码-设备解绑的业务号也会置为不可用状态,3,4,已关闭,1,黎兴,2018/6/1,Closed,2018/6/7,黎兴,已解决,2018/6/7,2018/6/7
app端(#42),【重庆】添加设备-客服经理/装修负责人信息显示异常,3,3,已关闭,1,黎兴,2018/6/1,Closed,2018/6/5,康忠飞,已解决,2018/6/4,2018/6/5
app端(#42),【重庆】绑码-搜索业务号时，提示请求数据失败,3,2,已关闭,0,黎兴,2018/6/1,Closed,2018/6/6,康忠飞,已解决,2018/6/4,2018/6/6
app端(#42),【重庆】企业信息-设备列表无法查看设备信息,3,2,已关闭,1,黎兴,2018/6/1,Closed,2018/6/6,康忠飞,已解决,2018/6/6,2018/6/6
app端(#42),【重庆】绑码-弹出绑码成功窗口，点击继续绑码，进入设备添加页面，还可以选择已经绑码的业务号，这样会导致绑码失败,3,3,已关闭,1,黎兴,2018/6/1,Closed,2018/6/6,康忠飞,已解决,2018/6/6,2018/6/6
app端(#42),【重庆】解绑-扫描已废除的二维码也可以解绑设备,2,2,已关闭,2,黎兴,2018/6/1,Closed,2018/6/5,杨滨舟,已解决,2018/6/5,2018/6/5
app端(#42),【重庆】绑码-未激活的二维码扫描后无法正确的进行绑码操作,3,3,已关闭,0,黎兴,2018/6/1,Closed,2018/6/5,杨滨舟,已解决,2018/6/4,2018/6/5
app端(#42),【重庆】绑码-设备串码输入空格，设备可以绑定成功，但是deviceSn号为空,3,3,已关闭,0,黎兴,2018/6/1,Closed,2018/6/4,康忠飞,已解决,2018/6/4,2018/6/4
app端(#42),【重庆】添加设备-设备串码没有做必要的字符串字数限制，超过40个字符后台报错,4,4,已关闭,0,黎兴,2018/6/1,Closed,2018/6/4,康忠飞,已解决,2018/6/4,2018/6/4
app端(#42),【重庆】企业信息-新增一个设备后，客户经理电话字段信息和客户经理名称值一致,3,2,已关闭,2,黎兴,2018/6/1,Closed,2018/6/6,黎兴,已解决,2018/6/6,2018/6/6
app端(#42),【重庆政企】设备自服务-iphone 8plus显示的设备自服务页面，布局异常,3,3,已关闭,0,黎兴,2018/6/4,Closed,2018/6/6,王琪,已解决,2018/6/6,2018/6/6
app端(#42),【重庆政企】设备自服务-操作引导页面不符合需求,3,3,已关闭,0,黎兴,2018/6/4,Closed,2018/6/6,康忠飞,已解决,2018/6/6,2018/6/6
app端(#42),【重庆政企】设备添加-设备添加选择有设备时，默认会填写上设备名称,3,3,已关闭,0,黎兴,2018/6/4,Closed,2018/6/5,康忠飞,已解决,2018/6/4,2018/6/5
app端(#42),【重庆政企】企业信息-客户经理信息填写不正确时，提示信息有误,3,3,已关闭,0,黎兴,2018/6/4,Closed,2018/6/6,王琪,已解决,2018/6/5,2018/6/6
app端(#42),【重庆政企】绑码-业务号搜索异常,3,3,已关闭,0,黎兴,2018/6/4,Closed,2018/6/5,孙艳强,已解决,2018/6/5,2018/6/5
